Airport_Name,Most_Frequent_Reason,Num_Cancelled
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,1
"Sioux Falls, SD: Joe Foss Field",Weather,6
"Sitka, AK: Sitka Rocky Gutierrez",Weather,3
"South Bend, IN: South Bend International",Weather,7
"Spokane, WA: Spokane International",Weather,4
"Springfield, MO: Springfield-Branson National",Weather,3
"St. Cloud, MN: St. Cloud Regional",Weather,1
"St. Louis, MO: St Louis Lambert International",Weather,28
"St. Petersburg, FL: St Pete Clearwater International",Weather,3
"State College, PA: University Park",Weather,2
"Stillwater, OK: Stillwater Regional",Weather,3
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,4
"Syracuse, NY: Syracuse Hancock International",Weather,36
"Tallahassee, FL: Tallahassee International","National Air System",1
"Tallahassee, FL: Tallahassee International",Carrier,1
"Tallahassee, FL: Tallahassee International",Weather,1
"Tampa, FL: Tampa International",Carrier,43
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,3
"Traverse City, MI: Cherry Capital",Weather,4
"Trenton, NJ: Trenton Mercer",Carrier,3
"Trenton, NJ: Trenton Mercer",Weather,3
"Tucson, AZ: Tucson International",Weather,7
"Tulsa, OK: Tulsa International",Weather,11
"Twin Falls, ID: Joslin Field - Magic Valley Regional",Weather,1
"Tyler, TX: Tyler Pounds Regional",Weather,3
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Carrier,6
"Vernal, UT: Vernal Regional",Weather,9
"Waco, TX: Waco Regional",Weather,1
"Washington, DC: Ronald Reagan Washington National",Weather,79
"Washington, DC: Washington Dulles International",Weather,16
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,33
"White Plains, NY: Westchester County",Weather,7
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,2
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,6
"Wilmington, NC: Wilmington International",Weather,3
"Worcester, MA: Worcester Regional",Weather,6
"Wrangell, AK: Wrangell Airport",Weather,3
"Yakutat, AK: Yakutat Airport",Weather,4
"Yuma, AZ: Yuma MCAS/Yuma International",Weather,3
